# time of execution: 2020-11-19 00:21:34
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.12
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:1.17e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0	295.0	295.0	0	0	0	0
0.01	1.0000000243441909	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.0000000483042495	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.000000071886236	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0000000950961183	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0000001179397657	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0000001404229564	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0000001625513804	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0000001843306328	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.000000205766227	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.000000226863582	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.000000247628037	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0000002680648439	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0000002881791747	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0000003079761166	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.0000003274606777	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0000003466377867	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.0000003655122947	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.0000003840889782	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0000004023725357	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0000004203675907	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.0000004380786984	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0000004555103374	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.000000472666919	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.000000489552782	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0000005061721997	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.000000522529375	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0000005386284463	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0000005544734858	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0000005700685028	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.000000585417441	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0000006005241844	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0000006153925542	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.000000630026314	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0000006444291625	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0000006586047445	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0000006725566468	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.0000006862883997	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.0000006998034738	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0000007131052902	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0000007261972144	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.0000007390825587	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0000007517645808	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0000007642464903	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0000007765314443	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0000007886225506	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0000008005228678	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0000008122354067	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0000008237631297	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.0000008351089549	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0000008462757497	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0000008572663408	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0000008680835093	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.0000008787299905	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.000000889208478	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0000008995216225	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0000009096720333	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0000009196622777	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0000009294948842	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.000000939172339	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.0000009486970898	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.0000009580715472	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.000000967298083	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.0000009763790305	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.000000985316688	295.0	295.0	0.0	0.0	0.0	0.0
0.6499999999999999	1.0000009941133163	295.0	295.0	0.0	0.0	0.0	0.0
0.66	1.0000010027711388	295.0	295.0	0.0	0.0	0.0	0.0
0.6699999999999999	1.0000010112923463	295.0	295.0	0.0	0.0	0.0	0.0
0.68	1.0000010196790978	295.0	295.0	0.0	0.0	0.0	0.0
0.69	1.0000010279335125	295.0	295.0	0.0	0.0	0.0	0.0
0.7	1.0000010360576765	295.0	295.0	0.0	0.0	0.0	0.0
0.71	1.0000010440536478	295.0	295.0	0.0	0.0	0.0	0.0
0.72	1.0000010519234497	295.0	295.0	0.0	0.0	0.0	0.0
0.73	1.0000010596690714	295.0	295.0	0.0	0.0	0.0	0.0
0.74	1.0000010672924715	295.0	295.0	0.0	0.0	0.0	0.0
0.7499999999999999	1.0000010747955799	295.0	295.0	0.0	0.0	0.0	0.0
0.76	1.0000010821802954	295.0	295.0	0.0	0.0	0.0	0.0
0.7699999999999999	1.0000010894484852	295.0	295.0	0.0	0.0	0.0	0.0
0.78	1.0000010966019877	295.0	295.0	0.0	0.0	0.0	0.0
0.7899999999999999	1.0000011036426133	295.0	295.0	0.0	0.0	0.0	0.0
0.8	1.0000011105721425	295.0	295.0	0.0	0.0	0.0	0.0
0.8099999999999999	1.0000011173923302	295.0	295.0	0.0	0.0	0.0	0.0
0.82	1.0000011241049003	295.0	295.0	0.0	0.0	0.0	0.0
0.83	1.0000011307115513	295.0	295.0	0.0	0.0	0.0	0.0
0.84	1.000001137213953	295.0	295.0	0.0	0.0	0.0	0.0
0.85	1.0000011436137513	295.0	295.0	0.0	0.0	0.0	0.0
0.86	1.0000011499125654	295.0	295.0	0.0	0.0	0.0	0.0
0.87	1.0000011561119886	295.0	295.0	0.0	0.0	0.0	0.0
0.88	1.0000011622135898	295.0	295.0	0.0	0.0	0.0	0.0
0.8899999999999999	1.0000011682189118	295.0	295.0	0.0	0.0	0.0	0.0
0.9	1.0000011741294739	295.0	295.0	0.0	0.0	0.0	0.0
0.9099999999999999	1.000001179946773	295.0	295.0	0.0	0.0	0.0	0.0
0.9199999999999999	1.0000011856722772	295.0	295.0	0.0	0.0	0.0	0.0
0.93	1.000001191307438	295.0	295.0	0.0	0.0	0.0	0.0
0.9400000000000001	1.00000119685368	295.0	295.0	0.0	0.0	0.0	0.0
0.95	1.0000012023124056	295.0	295.0	0.0	0.0	0.0	0.0
0.96	1.0000012076849976	295.0	295.0	0.0	0.0	0.0	0.0
0.9699999999999999	1.0000012129728144	295.0	295.0	0.0	0.0	0.0	0.0
0.9800000000000001	1.0000012181771918	295.0	295.0	0.0	0.0	0.0	0.0
0.99	1.0000012232994486	295.0	295.0	0.0	0.0	0.0	0.0
1.0	1.00000122834088	295.0	295.0	0.0	0.0	0.0	0.0
1.01	1.0000012333027606	295.0	295.0	0.0	0.0	0.0	0.0
1.0199999999999998	1.0000012381863468	295.0	295.0	0.0	0.0	0.0	0.0
1.03	1.0000012429928733	295.0	295.0	0.0	0.0	0.0	0.0
1.04	1.000001247723556	295.0	295.0	0.0	0.0	0.0	0.0
1.05	1.0000012523795923	295.0	295.0	0.0	0.0	0.0	0.0
1.0599999999999998	1.00000125696216	295.0	295.0	0.0	0.0	0.0	0.0
