# time of execution: 2021-01-27 13:34:33
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.96925]
### sample paramters ###
# Sample: Nickel
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# atoms per unit cell:4
# asf=0.1
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:2.2e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.0	1.0317255610007738	295.0	295.0	0	0	0	0
0.01	1.0312925432144109	295.0	295.0	0.0	0.0	0.0	0.0
0.02	1.030865642068911	295.0	295.0	0.0	0.0	0.0	0.0
0.03	1.0304447655784121	295.0	295.0	0.0	0.0	0.0	0.0
0.04	1.0300298232917247	295.0	295.0	0.0	0.0	0.0	0.0
0.05	1.0296207262626718	295.0	295.0	0.0	0.0	0.0	0.0
0.06	1.0292173870211014	295.0	295.0	0.0	0.0	0.0	0.0
0.07	1.0288197195445707	295.0	295.0	0.0	0.0	0.0	0.0
0.08	1.0284276392306624	295.0	295.0	0.0	0.0	0.0	0.0
0.09	1.0280410628699326	295.0	295.0	0.0	0.0	0.0	0.0
0.1	1.0276599086194735	295.0	295.0	0.0	0.0	0.0	0.0
0.11	1.0272840959770617	295.0	295.0	0.0	0.0	0.0	0.0
0.12	1.0269135457558864	295.0	295.0	0.0	0.0	0.0	0.0
0.13	1.0265481800598462	295.0	295.0	0.0	0.0	0.0	0.0
0.14	1.0261879222593864	295.0	295.0	0.0	0.0	0.0	0.0
0.15	1.025832696967876	295.0	295.0	0.0	0.0	0.0	0.0
0.16	1.0254824300184984	295.0	295.0	0.0	0.0	0.0	0.0
0.17	1.025137048441655	295.0	295.0	0.0	0.0	0.0	0.0
0.18	1.024796480442859	295.0	295.0	0.0	0.0	0.0	0.0
0.19	1.0244606553811093	295.0	295.0	0.0	0.0	0.0	0.0
0.2	1.0241295037477323	295.0	295.0	0.0	0.0	0.0	0.0
0.21	1.023802957145685	295.0	295.0	0.0	0.0	0.0	0.0
0.22	1.0234809482692977	295.0	295.0	0.0	0.0	0.0	0.0
0.22999999999999998	1.0231634108844512	295.0	295.0	0.0	0.0	0.0	0.0
0.24	1.0228502798091779	295.0	295.0	0.0	0.0	0.0	0.0
0.25	1.0225414908946777	295.0	295.0	0.0	0.0	0.0	0.0
0.26	1.0222369810067282	295.0	295.0	0.0	0.0	0.0	0.0
0.27	1.0219366880074952	295.0	295.0	0.0	0.0	0.0	0.0
0.28	1.0216405507377166	295.0	295.0	0.0	0.0	0.0	0.0
0.29	1.0213485089992713	295.0	295.0	0.0	0.0	0.0	0.0
0.3	1.0210605035380946	295.0	295.0	0.0	0.0	0.0	0.0
0.31	1.0207764760274667	295.0	295.0	0.0	0.0	0.0	0.0
0.32	1.0204963690516344	295.0	295.0	0.0	0.0	0.0	0.0
0.33	1.0202201260897699	295.0	295.0	0.0	0.0	0.0	0.0
0.34	1.0199476915002677	295.0	295.0	0.0	0.0	0.0	0.0
0.35	1.0196790105053588	295.0	295.0	0.0	0.0	0.0	0.0
0.36	1.0194140291760359	295.0	295.0	0.0	0.0	0.0	0.0
0.37	1.019152694417286	295.0	295.0	0.0	0.0	0.0	0.0
0.38	1.018894953953626	295.0	295.0	0.0	0.0	0.0	0.0
0.39	1.0186407563149231	295.0	295.0	0.0	0.0	0.0	0.0
0.4	1.0183900508225052	295.0	295.0	0.0	0.0	0.0	0.0
0.41	1.01814278757555	295.0	295.0	0.0	0.0	0.0	0.0
0.42	1.0178989174377386	295.0	295.0	0.0	0.0	0.0	0.0
0.43	1.0176583920241842	295.0	295.0	0.0	0.0	0.0	0.0
0.44	1.0174211636886132	295.0	295.0	0.0	0.0	0.0	0.0
0.45	1.0171871855107988	295.0	295.0	0.0	0.0	0.0	0.0
0.45999999999999996	1.0169564112842484	295.0	295.0	0.0	0.0	0.0	0.0
0.47000000000000003	1.0167287955041238	295.0	295.0	0.0	0.0	0.0	0.0
0.48	1.0165042933554025	295.0	295.0	0.0	0.0	0.0	0.0
0.49000000000000005	1.016282860701274	295.0	295.0	0.0	0.0	0.0	0.0
0.5	1.0160644540717463	295.0	295.0	0.0	0.0	0.0	0.0
0.5099999999999999	1.0158490306524912	295.0	295.0	0.0	0.0	0.0	0.0
0.52	1.0156365482738894	295.0	295.0	0.0	0.0	0.0	0.0
0.5299999999999999	1.015426965400295	295.0	295.0	0.0	0.0	0.0	0.0
0.54	1.0152202411195028	295.0	295.0	0.0	0.0	0.0	0.0
0.5499999999999999	1.0150163351324162	295.0	295.0	0.0	0.0	0.0	0.0
0.56	1.0148152077429116	295.0	295.0	0.0	0.0	0.0	0.0
0.57	1.0146168198478944	295.0	295.0	0.0	0.0	0.0	0.0
0.58	1.0144211329275448	295.0	295.0	0.0	0.0	0.0	0.0
0.59	1.014228109035747	295.0	295.0	0.0	0.0	0.0	0.0
0.6	1.014037710790695	295.0	295.0	0.0	0.0	0.0	0.0
0.61	1.013849901365678	295.0	295.0	0.0	0.0	0.0	0.0
0.62	1.0136646444800346	295.0	295.0	0.0	0.0	0.0	0.0
0.6299999999999999	1.013481904390277	295.0	295.0	0.0	0.0	0.0	0.0
0.64	1.0133016458813797	295.0	295.0	0.0	0.0	0.0	0.0
