# time of execution: 2020-10-19 20:10:14
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:295.0[K]
# initial magnetization [x,y,z]:[0, 0, 1.0]
### sample paramters ###
# S=0.5
# mu_at=0.616[mu_B]
# nx=1	ny=1	nz=1
# dx=3.524e-10	dy=3.524e-10	dz=3.524e-10	[m]
# asf=0.022
# gep, cv_el, cv_ph: DFT-interpolation
# Tc=633[K]
# T_Deb=450[K]
### pulse paramters ###
# peak power:2.55e+22[W/m^3]
# sigma=2.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.0	1.0	295.0	295.0
0.01	-4.720414846593677e-05	295.0	295.0
0.02	-4.698076577061107e-05	295.0	295.0
0.03	-4.6758440182154183e-05	295.0	295.0
0.04	-4.6537166698052414e-05	295.0	295.0
0.05	-4.6316940339465265e-05	295.0	295.0
0.06	-4.609775615111346e-05	295.0	295.0
0.07	-4.5879609201167484e-05	295.0	295.0
0.08	-4.56624945811365e-05	295.0	295.0
0.09	-4.544640740575801e-05	295.0	295.0
0.1	-4.523134281288785e-05	295.0	295.0
0.11	-4.501729596339095e-05	295.0	295.0
0.12	-4.48042620410322e-05	295.0	295.0
0.13	-4.4592236252368264e-05	295.0	295.0
0.14	-4.438121382663967e-05	295.0	295.0
0.15	-4.4171190015663504e-05	295.0	295.0
0.16	-4.396216009372643e-05	295.0	295.0
0.17	-4.375411935747863e-05	295.0	295.0
0.18	-4.354706312582758e-05	295.0	295.0
0.19	-4.3340986739833175e-05	295.0	295.0
0.2	-4.31358855626025e-05	295.0	295.0
0.21	-4.2931754979185735e-05	295.0	295.0
0.22	-4.2728590396472245e-05	295.0	295.0
0.22999999999999998	-4.2526387243087246e-05	295.0	295.0
0.24	-4.232514096928889e-05	295.0	295.0
0.25	-4.212484704686597e-05	295.0	295.0
0.26	-4.192550096903596e-05	295.0	295.0
0.27	-4.172709825034366e-05	295.0	295.0
0.28	-4.152963442656023e-05	295.0	295.0
0.29	-4.133310505458281e-05	295.0	295.0
0.3	-4.113750571233452e-05	295.0	295.0
0.31	-4.094283199866484e-05	295.0	295.0
0.32	-4.074907953325068e-05	295.0	295.0
0.33	-4.0556243956497963e-05	295.0	295.0
0.34	-4.0364320929443294e-05	295.0	295.0
0.35	-4.017330613365634e-05	295.0	295.0
0.36	-3.998319527114284e-05	295.0	295.0
0.37	-3.9793984064247823e-05	295.0	295.0
0.38	-3.960566825555926e-05	295.0	295.0
0.39	-3.94182436078124e-05	295.0	295.0
0.4	-3.923170590379429e-05	295.0	295.0
0.41	-3.904605094624905e-05	295.0	295.0
0.42	-3.886127455778328e-05	295.0	295.0
0.43	-3.867737258077223e-05	295.0	295.0
0.44	-3.849434087726602e-05	295.0	295.0
0.45	-3.8312175328896714e-05	295.0	295.0
0.45999999999999996	-3.813087183678561e-05	295.0	295.0
0.47000000000000003	-3.7950426321451056e-05	295.0	295.0
0.48	-3.777083472271648e-05	295.0	295.0
0.49000000000000005	-3.7592092999619265e-05	295.0	295.0
0.5	-3.741419713031969e-05	295.0	295.0
0.5099999999999999	-3.723714311201039e-05	295.0	295.0
0.52	-3.706092696082649e-05	295.0	295.0
0.5299999999999999	-3.6885544711755726e-05	295.0	295.0
0.54	-3.6710992418549445e-05	295.0	295.0
0.5499999999999999	-3.65372661536336e-05	295.0	295.0
0.56	-3.63643620080205e-05	295.0	295.0
0.57	-3.619227609122089e-05	295.0	295.0
0.58	-3.602100453115627e-05	295.0	295.0
0.59	-3.585054347407199e-05	295.0	295.0
0.6	-3.568088908445029e-05	295.0	295.0
0.61	-3.551203754492413e-05	295.0	295.0
0.62	-3.534398505619128e-05	295.0	295.0
0.6299999999999999	-3.517672783692893e-05	295.0	295.0
0.64	-3.5010262123708324e-05	295.0	295.0
0.6499999999999999	-3.484458417091041e-05	295.0	295.0
0.66	-3.467969025064137e-05	295.0	295.0
0.6699999999999999	-3.4515576652648684e-05	295.0	295.0
0.68	-3.435223968423795e-05	295.0	295.0
0.69	-3.4189675670189457e-05	295.0	295.0
0.7	-3.402788095267562e-05	295.0	295.0
0.71	-3.386685189117866e-05	295.0	295.0
0.72	-3.3706584862408814e-05	295.0	295.0
0.73	-3.35470762602226e-05	295.0	295.0
0.74	-3.338832249554179e-05	295.0	295.0
0.7499999999999999	-3.3230319996272697e-05	295.0	295.0
0.76	-3.307306520722567e-05	295.0	295.0
0.7699999999999999	-3.291655459003524e-05	295.0	295.0
0.78	-3.2760784623080366e-05	295.0	295.0
0.7899999999999999	-3.2605751801405286e-05	295.0	295.0
0.8	-3.2451452636640684e-05	295.0	295.0
0.8099999999999999	-3.229788365692508e-05	295.0	295.0
0.82	-3.214504140682682e-05	295.0	295.0
0.83	-3.199292244726626e-05	295.0	295.0
